iter	Passed	Remaining
594	9192	6257
595	9201	6237
596	9220	6224
597	9235	6208
598	9245	6189
599	9262	6174
600	9279	6160
601	9290	6142
602	9299	6122
603	9315	6107
604	9328	6090
605	9344	6075
606	9360	6060
607	9372	6042
608	9390	6029
609	9403	6012
610	9415	5994
611	9439	5984
612	9453	5968
613	9471	5954
614	9488	5939
615	9505	5925
616	9522	5911
617	9534	5893
618	9543	5874
619	9566	5863
620	9576	5844
621	9589	5827
622	9605	5812
623	9618	5795
624	9641	5784
625	9652	5766
626	9670	5752
627	9684	5736
628	9701	5721
629	9716	5706
630	9728	5689
631	9750	5677
632	9764	5661
633	9781	5646
634	9796	5631
635	9812	5615
636	9825	5598
637	9843	5585
638	9852	5566
639	9871	5552
640	9881	5534
641	9898	5519
642	9914	5504
643	9927	5487
644	9946	5474
645	9960	5458
646	9976	5443
647	9991	5427
648	10006	5411
649	10015	5392
650	10040	5382
651	10059	5368
652	10077	5355
653	10090	5338
654	10107	5323
655	10123	5308
656	10135	5291
657	10155	5278
658	10172	5263
659	10188	5248
660	10199	5230
661	10211	5213
662	10221	5195
663	10240	5182
664	10256	5166
665	10269	5150
666	10279	5131
667	10302	5120
668	10313	5102
669	10323	5084
670	10350	5075
671	10367	5060
672	10382	5044
673	10395	5028
674	10405	5009
675	10423	4996
676	10435	4978
677	10452	4964
678	10468	4948
679	10486	4934
680	10503	4919
681	10520	4905
682	10537	4890
683	10549	4873
684	10580	4865
685	10592	4848
686	10615	4836
687	10631	4821
688	10646	4805
689	10665	4791
690	10699	4784
691	10722	4772
692	10753	4763
693	10776	4751
694	10801	4740
695	10822	4726
696	10837	4711
697	10856	4697
698	10876	4683
699	10906	4674
700	10921	4658
701	10946	4646
702	10956	4629
703	10972	4613
704	10993	4600
705	11012	4585
706	11030	4571
707	11053	4558
708	11070	4543
709	11102	4534
710	11113	4517
711	11129	4501
712	11157	4491
713	11181	4478
714	11192	4461
715	11222	4451
716	11250	4440
717	11274	4427
718	11330	4428
719	11373	4423
720	11472	4439
721	11510	4432
722	11585	4438
723	11614	4427
724	11662	4423
725	11734	4428
726	11786	4425
727	11845	4425
728	11918	4430
729	11983	4432
730	12004	4417
731	12048	4411
732	12144	4423
733	12203	4422
734	12244	4414
735	12296	4410
736	12358	4410
737	12400	4402
738	12430	4390
739	12458	4377
740	12506	4371
741	12536	4359
742	12578	4350
743	12621	4342
744	12641	4326
745	12690	4320
746	12740	4315
747	12785	4307
748	12821	4296
749	12875	4291
750	12906	4279
751	12936	4266
752	12967	4253
753	12986	4237
754	13017	4224
755	13039	4208
756	13080	4198
757	13114	4187
758	13135	4170
759	13165	4157
760	13186	4141
761	13215	4127
762	13243	4113
763	13266	4098
764	13301	4086
765	13344	4076
766	13376	4063
767	13407	4050
768	13441	4037
769	13461	4020
770	13492	4007
771	13529	3995
772	13570	3985
773	13593	3969
774	13625	3955
775	13646	3939
776	13689	3928
777	13722	3915
778	13743	3898
779	13775	3885
780	13801	3870
781	13826	3854
782	13845	3837
783	13898	3829
784	13922	3813
785	13966	3802
786	13999	3788
787	14040	3777
788	14082	3766
789	14129	3755
790	14180	3746
791	14213	3732
792	14260	3722
793	14313	3713
794	14360	3703
795	14407	3692
796	14441	3678
797	14461	3660
798	14509	3650
799	14538	3634
800	14575	3621
801	14599	3604
802	14626	3588
803	14643	3569
804	14658	3550
805	14687	3535
806	14709	3517
807	14739	3502
808	14772	3487
809	14789	3469
810	14821	3453
811	14837	3435
812	14879	3422
813	14896	3403
814	14912	3385
815	14950	3371
816	14968	3352
817	15001	3337
818	15019	3319
819	15034	3300
820	15067	3285
821	15083	3266
822	15099	3247
823	15136	3233
824	15150	3213
825	15176	3197
826	15199	3179
827	15228	3163
828	15248	3145
829	15268	3127
830	15294	3110
831	15315	3092
832	15336	3074
833	15361	3057
834	15388	3040
835	15411	3023
836	15444	3007
837	15460	2988
838	15489	2972
839	15511	2954
840	15539	2937
841	15559	2919
842	15592	2903
843	15610	2885
844	15624	2866
845	15658	2850
846	15674	2831
847	15698	2813
848	15723	2796
849	15740	2777
850	15774	2761
851	15789	2742
852	15820	2726
853	15841	2708
854	15873	2692
855	15905	2675
856	15922	2656
857	15952	2640
858	15971	2621
859	16004	2605
860	16020	2586
861	16049	2569
862	16072	2551
863	16105	2535
864	16127	2516
865	16152	2499
866	16184	2482
867	16200	2463
868	16216	2444
869	16245	2427
870	16265	2409
871	16298	2392
872	16331	2375
873	16348	2356
874	16366	2338
875	16389	2319
876	16400	2300
877	16432	2283
878	16448	2264
879	16475	2246
880	16513	2230
881	16528	2211
882	16559	2194
883	16578	2175
884	16609	2158
885	16628	2139
886	16649	2121
887	16674	2103
888	16706	2085
889	16725	2067
890	16741	2048
891	16771	2030
892	16788	2011
893	16825	1995
894	16851	1976
895	16869	1958
896	16895	1940
897	16907	1920
898	16937	1902
899	16954	1883
900	16987	1866
901	17018	1849
902	17037	1830
903	17057	1811
904	17085	1793
905	17114	1775
906	17135	1757
907	17149	1737
908	17174	1719
909	17186	1699
910	17215	1681
911	17242	1663
912	17264	1645
913	17297	1627
914	17314	1608
915	17344	1590
916	17364	1571
917	17380	1552
918	17408	1534
919	17421	1514
920	17454	1497
921	17476	1478
922	17508	1460
923	17530	1441
924	17555	1423
925	17576	1404
926	17594	1385
927	17623	1367
928	17643	1348
929	17672	1330
930	17691	1311
931	17715	1292
932	17737	1273
933	17769	1255
934	17794	1237
935	17836	1219
936	17856	1200
937	17924	1184
938	17985	1168
939	18012	1149
940	18084	1133
941	18104	1114
942	18117	1095
943	18135	1075
944	18161	1057
945	18178	1037
946	18218	1019
947	18233	1000
948	18265	981
949	18290	962
950	18314	943
951	18328	924
952	18359	905
953	18378	886
954	18410	867
955	18445	848
956	18480	830
957	18511	811
958	18530	792
959	18563	773
960	18578	753
961	18606	734
962	18640	716
963	18671	697
964	18694	678
965	18715	658
966	18742	639
967	18759	620
968	18792	601
969	18818	582
970	18855	563
971	18870	543
972	18887	524
973	18924	505
974	18938	485
975	18953	466
976	18986	446
977	19003	427
978	19036	408
979	19055	388
980	19071	369
981	19101	350
982	19132	330
983	19150	311
984	19167	291
985	19196	272
986	19224	253
987	19249	233
988	19272	214
989	19296	194
990	19319	175
991	19346	156
992	19366	136
993	19381	116
994	19411	97
995	19440	78
996	19465	58
997	19478	39
998	19508	19
999	19527	0
